event,type,time,stamp,data0,data1,data2
1,android.sensor.heart_rate,2022-11-18T12:17:05.640,403698637924496,110.0,0.0,0.0
2,android.sensor.heart_rate,2022-11-18T12:17:06.650,403699633303797,110.0,0.0,0.0
3,android.sensor.heart_rate,2022-11-18T12:17:07.651,403700628663032,110.0,0.0,0.0
4,android.sensor.heart_rate,2022-11-18T12:17:08.592,403701624389112,110.0,0.0,0.0
5,android.sensor.heart_rate,2022-11-18T12:17:09.638,403702619824662,111.67241,0.0,0.0
6,android.sensor.heart_rate,2022-11-18T12:17:10.636,403703615031182,111.84611,0.0,0.0
7,android.sensor.heart_rate,2022-11-18T12:17:11.646,403704610816201,110.74282,0.0,0.0
8,android.sensor.heart_rate,2022-11-18T12:17:12.620,403705606447603,110.678825,0.0,0.0
9,android.sensor.heart_rate,2022-11-18T12:17:13.623,403706602022014,110.64789,0.0,0.0
10,android.sensor.heart_rate,2022-11-18T12:17:14.560,403707597002206,110.64789,0.0,0.0
11,android.sensor.heart_rate,2022-11-18T12:17:15.609,403708591673177,108.34089,0.0,0.0
12,android.sensor.heart_rate,2022-11-18T12:17:16.635,403709586666494,108.42402,0.0,0.0
13,android.sensor.heart_rate,2022-11-18T12:17:17.599,403710581891425,107.87191,0.0,0.0
14,android.sensor.heart_rate,2022-11-18T12:17:18.609,403711577202930,107.865395,0.0,0.0
15,android.sensor.heart_rate,2022-11-18T12:17:19.592,403712572733092,107.8292,0.0,0.0
16,android.sensor.heart_rate,2022-11-18T12:17:20.531,403713568479940,107.8292,0.0,0.0
17,android.sensor.heart_rate,2022-11-18T12:17:21.583,403714563239326,107.85429,0.0,0.0
18,android.sensor.heart_rate,2022-11-18T12:17:22.576,403715557782122,107.87046,0.0,0.0
19,android.sensor.heart_rate,2022-11-18T12:17:23.571,403716553462561,107.87248,0.0,0.0
20,android.sensor.heart_rate,2022-11-18T12:17:24.571,403717548840123,107.24833,0.0,0.0
21,android.sensor.heart_rate,2022-11-18T12:17:25.563,403718544536537,107.45415,0.0,0.0
22,android.sensor.heart_rate,2022-11-18T12:17:26.507,403719540173518,107.45415,0.0,0.0
23,android.sensor.heart_rate,2022-11-18T12:17:27.573,403720535939484,108.83709,0.0,0.0
24,android.sensor.heart_rate,2022-11-18T12:17:28.549,403721531405555,110.276566,0.0,0.0
25,android.sensor.heart_rate,2022-11-18T12:17:29.550,403722527102128,112.41291,0.0,0.0
26,android.sensor.heart_rate,2022-11-18T12:17:30.537,403723522855085,112.71496,0.0,0.0
27,android.sensor.heart_rate,2022-11-18T12:17:31.537,403724518626389,112.79557,0.0,0.0
28,android.sensor.heart_rate,2022-11-18T12:17:32.480,403725514353407,112.79557,0.0,0.0
29,android.sensor.heart_rate,2022-11-18T12:17:33.524,403726509744817,112.80565,0.0,0.0
30,android.sensor.heart_rate,2022-11-18T12:17:34.536,403727505162040,113.04296,0.0,0.0
31,android.sensor.heart_rate,2022-11-18T12:17:35.521,403728500712294,113.105446,0.0,0.0
32,android.sensor.heart_rate,2022-11-18T12:17:36.535,403729496776568,113.11326,0.0,0.0
33,android.sensor.heart_rate,2022-11-18T12:17:37.509,403730490999459,113.114235,0.0,0.0
34,android.sensor.heart_rate,2022-11-18T12:17:38.446,403731485629231,113.114235,0.0,0.0
35,android.sensor.heart_rate,2022-11-18T12:17:39.522,403732480878098,112.98687,0.0,0.0
36,android.sensor.heart_rate,2022-11-18T12:17:40.492,403733476464721,112.94082,0.0,0.0
37,android.sensor.heart_rate,2022-11-18T12:17:41.492,403734472202220,106.78453,0.0,0.0
38,android.sensor.heart_rate,2022-11-18T12:17:42.485,403735467927711,99.753075,0.0,0.0
39,android.sensor.heart_rate,2022-11-18T12:17:43.479,403736463607071,98.87414,0.0,0.0
40,android.sensor.heart_rate,2022-11-18T12:17:44.435,403737459561478,98.87414,0.0,0.0
41,android.sensor.heart_rate,2022-11-18T12:17:45.474,403738455226554,98.764275,0.0,0.0
42,android.sensor.heart_rate,2022-11-18T12:17:46.463,403739450686517,100.08281,0.0,0.0
43,android.sensor.heart_rate,2022-11-18T12:17:47.464,403740447048767,101.57442,0.0,0.0
44,android.sensor.heart_rate,2022-11-18T12:17:48.463,403741443329750,101.760864,0.0,0.0
45,android.sensor.heart_rate,2022-11-18T12:17:49.452,403742439646507,101.78417,0.0,0.0
46,android.sensor.heart_rate,2022-11-18T12:17:50.404,403743435458985,101.78417,0.0,0.0
47,android.sensor.heart_rate,2022-11-18T12:17:51.452,403744431169142,98.76058,0.0,0.0
